"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD","Quantity","QuantityToken","QtyUnit","ProductDescription","NetWeight in KGM","Reporter Region","Reporter Income Group","Partner Region","Partner Income Group"
"CP","PER","1","Peru","ZAF","South Africa",2022,"Export",6,4.66,400,8,"Kg","ORES AND MINERALS; ELECTRICITY, GAS",400,"Latin America & Caribbean","Upper middle income","Sub-Saharan Africa","Upper middle income"
"CP","PER","2","Peru","ARG","Argentina",2022,"Export",6,39239.085,,,"","FOOD PRODUCTS, BEVERAGES AND TOBACC",,"Latin America & Caribbean","Upper middle income","Latin America & Caribbean","Upper middle income"
"CP","PER","2","Peru","BRA","Brazil",2022,"Export",6,137768.224,,,"","FOOD PRODUCTS, BEVERAGES AND TOBACC",,"Latin America & Caribbean","Upper middle income","Latin America & Caribbean","Upper middle income"
"CP","PER","2","Peru","CAN","Canada",2022,"Export",6,240804.009,,,"","FOOD PRODUCTS, BEVERAGES AND TOBACC",,"Latin America & Caribbean","Upper middle income","North America","High income"
"CP","PER","2","Peru","CHL","Chile",2022,"Export",6,405798.968,,,"","FOOD PRODUCTS, BEVERAGES AND TOBACC",,"Latin America & Caribbean","Upper middle income","Latin America & Caribbean","High income"
"CP","PER","2","Peru","CHN","China",2022,"Export",6,1770144.924,,,"","FOOD PRODUCTS, BEVERAGES AND TOBACC",,"Latin America & Caribbean","Upper middle income","East Asia & Pacific","Upper middle income"
"CP","PER","2","Peru","CMR","Cameroon",2022,"Export",6,13794.756,13657483,8,"Kg","FOOD PRODUCTS, BEVERAGES AND TOBACC",13657483,"Latin America & Caribbean","Upper middle income","Sub-Saharan Africa","Lower middle income"
"CP","PER","2","Peru","COL","Colombia",2022,"Export",6,248360.352,,,"","FOOD PRODUCTS, BEVERAGES AND TOBACC",,"Latin America & Caribbean","Upper middle income","Latin America & Caribbean","Upper middle income"
"CP","PER","2","Peru","DEU","Germany",2022,"Export",6,229607.297,,,"","FOOD PRODUCTS, BEVERAGES AND TOBACC",,"Latin America & Caribbean","Upper middle income","Europe & Central Asia","High income"
"CP","PER","2","Peru","ECU","Ecuador",2022,"Export",6,607939.748,,,"","FOOD PRODUCTS, BEVERAGES AND TOBACC",,"Latin America & Caribbean","Upper middle income","Latin America & Caribbean","Upper middle income"
"CP","PER","2","Peru","FRA","France",2022,"Export",6,143822.391,,,"","FOOD PRODUCTS, BEVERAGES AND TOBACC",,"Latin America & Caribbean","Upper middle income","Europe & Central Asia","High income"
"CP","PER","2","Peru","ITA","Italy",2022,"Export",6,116052.09,,,"","FOOD PRODUCTS, BEVERAGES AND TOBACC",,"Latin America & Caribbean","Upper middle income","Europe & Central Asia","High income"
"CP","PER","2","Peru","JPN","Japan",2022,"Export",6,243071.6,,,"","FOOD PRODUCTS, BEVERAGES AND TOBACC",,"Latin America & Caribbean","Upper middle income","East Asia & Pacific","High income"
"CP","PER","2","Peru","KOR","Korea, Rep.",2022,"Export",6,243771.491,,,"","FOOD PRODUCTS, BEVERAGES AND TOBACC",,"Latin America & Caribbean","Upper middle income","East Asia & Pacific","High income"
"CP","PER","2","Peru","RUS","Russian Federation",2022,"Export",6,28062.233,,,"","FOOD PRODUCTS, BEVERAGES AND TOBACC",,"Latin America & Caribbean","Upper middle income","Europe & Central Asia","Upper middle income"
"CP","PER","2","Peru","TUR","Turkey",2022,"Export",6,3496.866,,,"","FOOD PRODUCTS, BEVERAGES AND TOBACC",,"Latin America & Caribbean","Upper middle income","Europe & Central Asia","Upper middle income"
"CP","PER","2","Peru","USA","United States",2022,"Export",6,2009003.933,,,"","FOOD PRODUCTS, BEVERAGES AND TOBACC",,"Latin America & Caribbean","Upper middle income","North America","High income"
"CP","PER","2","Peru","ZAF","South Africa",2022,"Export",6,1672.68,,,"","FOOD PRODUCTS, BEVERAGES AND TOBACC",,"Latin America & Caribbean","Upper middle income","Sub-Saharan Africa","Upper middle income"
"CP","PER","3","Peru","ARG","Argentina",2022,"Export",6,62114.491,,,"","OTHER TRANSPORTABLE GOODS, EXCEPT M",,"Latin America & Caribbean","Upper middle income","Latin America & Caribbean","Upper middle income"
"CP","PER","3","Peru","BRA","Brazil",2022,"Export",6,254879.738,,,"","OTHER TRANSPORTABLE GOODS, EXCEPT M",,"Latin America & Caribbean","Upper middle income","Latin America & Caribbean","Upper middle income"
"CP","PER","3","Peru","CAN","Canada",2022,"Export",6,62093.248,,,"","OTHER TRANSPORTABLE GOODS, EXCEPT M",,"Latin America & Caribbean","Upper middle income","North America","High income"
"CP","PER","3","Peru","CHL","Chile",2022,"Export",6,708591.807,,,"","OTHER TRANSPORTABLE GOODS, EXCEPT M",,"Latin America & Caribbean","Upper middle income","Latin America & Caribbean","High income"
"CP","PER","3","Peru","CHN","China",2022,"Export",6,65670.787,,,"","OTHER TRANSPORTABLE GOODS, EXCEPT M",,"Latin America & Caribbean","Upper middle income","East Asia & Pacific","Upper middle income"
"CP","PER","3","Peru","CMR","Cameroon",2022,"Export",6,230.616,29590.142,8,"Kg","OTHER TRANSPORTABLE GOODS, EXCEPT M",29590,"Latin America & Caribbean","Upper middle income","Sub-Saharan Africa","Lower middle income"
